,n_estimators,learning_rate,test_score,train_score,max_depth,fit_time
429,25,0.08900000000000001,0.9056070311746918,0.9059483753027016,4,126.30640730857849
441,27,0.08900000000000001,0.9055706163431868,0.9058895390989059,4,132.67101354598998
435,26,0.08900000000000001,0.9054944918833238,0.9058083134614694,4,132.0486159324646
447,28,0.08900000000000001,0.9054272895312888,0.9057383825517484,4,136.8423270702362
439,27,0.08800000000000001,0.9053627806039428,0.9056992391938024,4,131.85960640907288
453,29,0.08900000000000001,0.9053454928802008,0.9056463906106929,4,147.71402702331542
423,24,0.08900000000000001,0.9053354712989494,0.9057159660283706,4,116.52760581970215
427,25,0.08800000000000001,0.9052935324993392,0.9056613309909108,4,127.15943646430969
431,25,0.09,0.9052585316157838,0.9056005090642676,4,130.15037636756898
443,27,0.09,0.905251777538576,0.9055776877932578,4,135.63675718307496
449,28,0.09,0.9052472778823012,0.905571094726816,4,136.49724245071408
461,30,0.09,0.9052447864323964,0.905566193475212,4,146.3475850105286
459,30,0.08900000000000001,0.9052425332711712,0.9055727023243636,4,148.64229621887208
425,24,0.09,0.9052015805592508,0.9055421952276526,4,119.537220287323
437,26,0.09,0.9051735369154941,0.9055073732690696,4,127.08191394805908
433,26,0.08800000000000001,0.9051656451206916,0.9055279936681409,4,136.53890171051026
457,30,0.08800000000000001,0.9050952295025264,0.9054310701056572,4,151.96998491287232
451,29,0.08800000000000001,0.9050789105738136,0.9054189686296864,4,141.42841172218326
445,28,0.08800000000000001,0.9050682546367682,0.9054401551199144,4,137.02434916496276
421,24,0.08800000000000001,0.90503225624244,0.9054282352900606,4,120.01769285202026
455,29,0.09,0.9050067216609682,0.9053441230025522,4,151.93121747970582
417,23,0.08900000000000001,0.904908648992772,0.9052844011197976,4,111.98422250747679
419,23,0.09,0.9049068252407174,0.9052680247966988,4,111.78313760757445
413,22,0.09,0.9048132045833626,0.9051778208494612,4,106.66274900436402
411,22,0.08900000000000001,0.904759349256996,0.9051375077178035,4,107.47417793273924
415,23,0.08800000000000001,0.9046721604053868,0.9050320296637382,4,111.78634891510008
407,21,0.09,0.904583674085068,0.9049275973783464,4,116.87070555686951
409,22,0.08800000000000001,0.9044627863699796,0.904840766094414,4,113.70306916236878
405,21,0.08900000000000001,0.9044565019507512,0.9048149092652124,4,121.42689971923828
403,21,0.08800000000000001,0.9042099173441024,0.9045525746684324,4,118.99096879959106
401,20,0.09,0.9038938524872018,0.9042469403842996,4,116.02355046272278
399,20,0.08900000000000001,0.9037169222090224,0.9040573895889222,4,101.9454592704773
397,20,0.08800000000000001,0.9037083308459416,0.904057332739684,4,107.73148608207704
2,19,0.85,0.8916937850879808,0.8920890306846397,4,87.80903115272524
11,19,0.88,0.8912520882763939,0.8916061140488433,4,87.28084254264832
35,20,0.86,0.8912166781538569,0.8915067204847066,4,89.46229376792908
17,19,0.9,0.8905275845040432,0.8909603195093121,4,86.65313625335693
8,19,0.87,0.8904172089644684,0.8908135069296712,4,86.7428050994873
5,19,0.86,0.8904131546680135,0.8907092302491242,4,86.80275912284851
152,19,0.95,0.8903834993305134,0.8907707135555649,4,88.4090437412262
32,20,0.85,0.8902556573201565,0.8907005974651107,4,90.16952581405641
41,20,0.88,0.890074737408303,0.8903923164571717,4,89.61264538764955
95,22,0.86,0.8897746524343985,0.8900268230994947,4,102.15972542762756
62,21,0.85,0.8893615655995444,0.8897549105854559,4,94.0374240398407
65,21,0.86,0.8892023850447242,0.8895011982828794,4,93.48762340545656
38,20,0.87,0.8891633534484923,0.8895610213446391,4,89.66393427848816
68,21,0.87,0.8889669165914335,0.8893855858902378,4,93.48912258148194
98,22,0.87,0.8889084352344139,0.8892955349419458,4,105.87973895072938
92,22,0.85,0.8886209435680753,0.8890237607158532,4,101.31505169868471
158,20,0.95,0.8885094308949505,0.8889764197537721,4,90.916578912735
128,23,0.87,0.8884475318103124,0.8888837549558319,4,102.01755747795104
155,19,0.96,0.8883083926784081,0.8887139811302074,4,87.39735465049743
14,19,0.89,0.8880484801249523,0.8884344066068829,4,86.77788600921629
101,22,0.88,0.8879005460188584,0.8882498462291435,4,99.87466497421265
122,23,0.85,0.8878894538344626,0.8883064853716963,4,112.66424765586856
164,21,0.95,0.8874636644459329,0.8878809871713049,4,94.9848457813263
77,21,0.9,0.8874514161890309,0.8877574734866835,4,103.23442540168762
71,21,0.88,0.887006361164287,0.8873782548252935,4,93.64922957420349
89,21,0.94,0.8869679285238229,0.887347854485624,4,93.47318015098571
59,20,0.94,0.8867930533543685,0.8871933599466788,4,89.03635931015016
20,19,0.91,0.8866656222574354,0.8870839690115055,4,86.75995631217957
44,20,0.89,0.8864799033971036,0.8868982067705922,4,89.47182240486146
161,20,0.96,0.8864451595672312,0.8868454620264046,4,91.66397271156308
119,22,0.94,0.8864271873917742,0.8868111926459229,4,96.81365337371828
29,19,0.94,0.886367078383438,0.8867328487929118,4,84.82922887802123
47,20,0.9,0.8863138517976719,0.886673461773859,4,89.32377185821535
170,22,0.95,0.8862637118928806,0.8867058760904099,4,99.38070936203005
167,21,0.96,0.8858714466374342,0.8862883060027565,4,95.1664038658142
137,23,0.9,0.8852034837533992,0.8855273959188594,4,101.03034086227413
107,22,0.9,0.8851523214299497,0.8854472775821428,4,104.14797315597534
176,23,0.95,0.8848019616717169,0.885214556428739,4,103.04732370376587
104,22,0.89,0.8847841147056152,0.8851697438350804,4,107.40154786109925
113,22,0.92,0.88473274538785,0.8851155052752497,4,99.19495053291321
23,19,0.92,0.8844968692142483,0.8848600337938558,4,86.28222198486328
53,20,0.92,0.8843603456904751,0.8847887989505455,4,89.10542888641358
74,21,0.89,0.8841036780760227,0.8845149969394492,4,101.32396426200869
131,23,0.88,0.8840099108928899,0.8843607068860427,4,101.67806472778321
26,19,0.93,0.8839701392274388,0.8843289078357082,4,86.32008986473083
149,23,0.94,0.8838411070693255,0.8842135291579943,4,103.66211462020874
125,23,0.86,0.8838404106185337,0.8840533808209511,4,112.45113263130187
134,23,0.89,0.8833639801140214,0.8837459550026837,4,101.4606315612793
116,22,0.93,0.8827511601177758,0.8830953634108925,4,97.03945436477665
56,20,0.93,0.8826346515017789,0.882985236962187,4,89.27339072227478
86,21,0.93,0.8826306785021328,0.8829521246733408,4,93.23541851043699
110,22,0.91,0.8822108128019173,0.8826430300523388,4,102.66685390472412
173,22,0.96,0.882144302451584,0.8826230965759454,4,99.23741893768309
80,21,0.91,0.8817521578984571,0.8821576381515073,4,101.96062650680544
83,21,0.92,0.8816784792188826,0.8819241196320465,4,102.4879027366638
143,23,0.92,0.8815206340926325,0.8817166821581438,4,100.75022931098938
191,25,0.96,0.881195929553343,0.8816544993641692,4,109.21342678070069
146,23,0.93,0.8808224690486608,0.8811664784112534,4,100.95244421958924
179,23,0.96,0.8803749649760746,0.8808399080376439,4,101.95551176071169
50,20,0.91,0.8799467069523622,0.8803526934067586,4,89.19868731498718
182,24,0.95,0.8798921644659318,0.8804023791380265,4,105.27100701332093
185,24,0.96,0.8798727978688372,0.8803896673229298,4,105.46779894828795
200,27,0.95,0.8797930592608664,0.8803071195732007,4,116.94760003089905
206,28,0.95,0.8796345177470977,0.8802093966647607,4,121.0241527557373
460,30,0.09,0.8792917220468276,0.8796323793410625,3,118.01756749153135
414,23,0.08800000000000001,0.8791874125942918,0.8795037379476766,3,89.17396717071533
408,22,0.08800000000000001,0.8791628478118583,0.8795162900708229,3,97.92048645019531
194,26,0.95,0.8791133471088658,0.8795915485410788,4,112.97800879478454
454,29,0.09,0.8791091001101222,0.8794383244188252,3,120.59227714538574
410,22,0.08900000000000001,0.8791033919217389,0.8794787272306597,3,85.53481335639954
448,28,0.09,0.8790997204526192,0.8794363868936241,3,109.11720023155212
446,28,0.08900000000000001,0.8790547872343722,0.8794085102030091,3,109.04399828910827
416,23,0.08900000000000001,0.8790477191249719,0.8793324100320243,3,89.1273111820221
452,29,0.08900000000000001,0.8790399715391338,0.8794261859638878,3,113.18893036842346
458,30,0.08900000000000001,0.8790395014696915,0.8794555037968259,3,119.10104622840882
456,30,0.08800000000000001,0.879013807691525,0.8793557093588014,3,122.69584398269652
418,23,0.09,0.8789600774365823,0.8792283337706461,3,89.35002117156981
436,26,0.09,0.8789411121551185,0.8792664883347525,3,102.92033348083496
404,21,0.08900000000000001,0.8789355291617623,0.8792722750192945,3,96.49407734870913
398,20,0.08900000000000001,0.8789197547418771,0.8791849745429552,3,82.16180486679076
188,25,0.95,0.8788998818829531,0.8794088724732243,4,109.00976119041442
412,22,0.09,0.8788995066362327,0.8792893242907427,3,85.46141324043273
440,27,0.08900000000000001,0.878895913045876,0.8793189305536648,3,105.3883047580719
422,24,0.08900000000000001,0.8788346952183042,0.8791716417014359,3,93.30037784576416
402,21,0.08800000000000001,0.8788315465966129,0.8791817162191713,3,98.02077126502992
430,25,0.09,0.8787918856157695,0.8791014838822511,3,100.6216782569885
406,21,0.09,0.8787816719280777,0.8791132807749449,3,97.97125678062443
400,20,0.09,0.8787779238128627,0.8790689887881232,3,88.1341796875
428,25,0.08900000000000001,0.8787551074595831,0.8790848467718121,3,97.77995648384096
140,23,0.91,0.8787525071564894,0.8791819019159028,4,101.1181573867798
218,30,0.95,0.8787401991862753,0.8792599571091697,4,127.76301164627077
450,29,0.08800000000000001,0.8787368615070829,0.8791437960303806,3,113.04644708633423
444,28,0.08800000000000001,0.8786938462400743,0.8791097538440906,3,110.80748262405396
442,27,0.09,0.8786717470753878,0.8790800940002559,3,105.66464481353759
434,26,0.08900000000000001,0.8786609802858802,0.8790244624361762,3,107.7681921482086
420,24,0.08800000000000001,0.8786571770761732,0.8790402353035759,3,93.0839344024658
426,25,0.08800000000000001,0.8786521117832159,0.8790738950921666,3,103.16081042289734
432,26,0.08800000000000001,0.8785971108098212,0.8789876314559464,3,110.47222084999085
438,27,0.08800000000000001,0.8785379172882377,0.8789816218895774,3,105.23822956085205
396,20,0.08800000000000001,0.8784121946641228,0.8786199572277271,3,99.04733362197877
212,29,0.95,0.8783421435361966,0.8788951008470944,4,124.43795781135559
424,24,0.09,0.8783127600785854,0.878698005780605,3,94.36972951889038
197,26,0.96,0.8782135792204532,0.8787186251733601,4,113.0630964756012
203,27,0.96,0.8781620568943715,0.8787199140276251,4,118.25035738945007
215,29,0.96,0.8770816158254565,0.8776796047295955,4,124.72188482284544
209,28,0.96,0.876921049576547,0.8774621766156631,4,120.7737365245819
221,30,0.96,0.8768060802948847,0.877352436048691,4,128.14399213790892
224,31,0.95,0.8761432258934241,0.876669517938728,4,131.65261516571044
227,31,0.96,0.8752021508667074,0.8757531378639796,4,131.75649518966674
230,32,0.95,0.8746779763830956,0.8751516614003956,4,135.24585657119752
239,33,0.96,0.8745178679670091,0.8750494325131488,4,139.1797175884247
236,33,0.95,0.8739108777681259,0.8743638155541179,4,138.90631580352786
233,32,0.96,0.8738497391567718,0.8743807877483359,4,135.54074215888977
245,34,0.96,0.8719956618390254,0.8724871457966514,4,142.89249548912048
242,34,0.95,0.8716075026625685,0.8720801451159034,4,142.61141262054443
248,35,0.95,0.8696961237974172,0.8702089783660641,4,146.04499006271362
251,35,0.96,0.8695259771564879,0.8700738116733604,4,146.49439911842347
254,36,0.95,0.8688724121513658,0.8694058900459929,4,149.84134058952333
257,36,0.96,0.8683174157389472,0.8688856737225997,4,152.29614057540894
269,38,0.96,0.8678056285253126,0.8683996971588457,4,157.63912057876587
263,37,0.96,0.8676428704461452,0.8682662842809329,4,153.6192395687103
260,37,0.95,0.8672987521309106,0.8678325799622586,4,155.56339373588563
275,39,0.96,0.8669686993761839,0.8675460676270426,4,161.13780570030212
281,40,0.96,0.8664869716330943,0.8670208747532719,4,164.34220428466796
272,39,0.95,0.8664400226585073,0.8669826265273286,4,160.60240669250487
305,44,0.96,0.8659239194226732,0.8664287564010958,4,178.31313438415523
266,38,0.95,0.8655810061468747,0.8661187096839158,4,156.73873062133788
299,43,0.96,0.8654715046536839,0.8659345928943527,4,174.9175870895386
278,40,0.95,0.8651083901332759,0.8656219886428884,4,163.83343343734742
311,45,0.96,0.8649606675530028,0.8654559458013242,4,181.5857786655426
287,41,0.96,0.864822180851984,0.8653432782926572,4,167.90605587959288
284,41,0.95,0.864410616669496,0.8648841349508478,4,167.81466398239138
290,42,0.95,0.8639786497486398,0.86437181260362,4,171.09029574394225
323,47,0.96,0.8631982420598325,0.8636977729653094,4,188.7571829795837
293,42,0.96,0.8630389231085582,0.8635769998446079,4,171.61091341972352
296,43,0.95,0.8625066951686596,0.8628890664785744,4,174.61507220268246
317,46,0.96,0.8617989731022604,0.8623239610864459,4,185.2670000076294
329,48,0.96,0.8616197272788273,0.8621510790444609,4,192.38489737510682
335,49,0.96,0.861595937098701,0.8620662335818169,4,195.7098979473114
308,45,0.95,0.8608827209973107,0.8613045621095521,4,181.26034283638
302,44,0.95,0.8608199224783691,0.8612042575686418,4,177.67851090431213
341,50,0.96,0.8600368874284621,0.8605181432659332,4,198.54954557418824
347,51,0.96,0.8599896562880209,0.8604589628356308,4,202.36911764144898
314,46,0.95,0.8598537833114781,0.8602556908364141,4,185.2870080947876
320,47,0.95,0.8593023094922709,0.8596932896217409,4,188.40057654380797
359,53,0.96,0.8590536283054782,0.8595394480546545,4,211.61082363128662
353,52,0.96,0.8581988031153532,0.858675542225607,4,209.24045615196232
326,48,0.95,0.8569831722221221,0.8574489948439362,4,191.70587196350098
338,50,0.95,0.8566934111816753,0.8571663884951134,4,198.31809539794918
365,54,0.96,0.8565775328172072,0.8570422795914995,4,215.70500841140748
332,49,0.95,0.8562231065259696,0.8566507624008104,4,195.19290537834166
383,57,0.96,0.8559878189241724,0.8564412257515019,4,229.42135887146
377,56,0.96,0.8556895024705925,0.8561269884578089,4,221.87901792526245
371,55,0.96,0.8553330326873707,0.8557962916168872,4,218.7309032440185
389,58,0.96,0.8548281512792781,0.8552914587474035,4,226.8006332397461
395,59,0.96,0.8544881046145609,0.8549961019481745,4,250.9059937477112
344,51,0.95,0.8541727489170281,0.8546789040773549,4,201.7003424167633
350,52,0.95,0.8535852879271429,0.8540690649138758,4,205.12452058792115
356,53,0.95,0.8535623333383697,0.8540184017800764,4,211.64415020942687
362,54,0.95,0.8533969980473871,0.8538435587774771,4,215.05079517364499
374,56,0.95,0.8532762043000626,0.8536702360062755,4,221.52507467269896
380,57,0.95,0.8531406117554482,0.8535295692971291,4,225.3556945323944
386,58,0.95,0.8525539322750852,0.8529153367578053,4,241.72971577644347
392,59,0.95,0.8515220531654879,0.8519307828918572,4,244.1724892616272
368,55,0.95,0.8514259265302302,0.8518621078560328,4,218.2182679653168
28,19,0.94,0.8356548876006323,0.8362256929808074,3,67.67724418640137
151,19,0.95,0.8340365293119543,0.8346636595373134,3,68.71663818359374
16,19,0.9,0.8322320257998387,0.83295635193613,3,68.73924283981323
19,19,0.91,0.8317999187579159,0.8324676736678092,3,68.9343276977539
154,19,0.96,0.8280959502221579,0.8287849848990853,3,69.65234503746032
25,19,0.93,0.8253994141343289,0.8262551737724717,3,68.73496899604797
7,19,0.87,0.8240796827921045,0.8247152139779544,3,69.41652293205262
13,19,0.89,0.8183536170859348,0.8191084135106298,3,69.14195184707641
22,19,0.92,0.8176368046959421,0.8183883570598713,3,68.924924659729
55,20,0.93,0.8161801183582306,0.8170904956338907,3,71.03258194923401
4,19,0.86,0.8154562292093399,0.8161613787870763,3,69.30306668281554
34,20,0.86,0.8153634745883274,0.8160741957704513,3,71.47972621917725
94,22,0.86,0.8148664658874708,0.8156338833032386,3,82.09520554542543
64,21,0.86,0.8148073959203167,0.8155439210620544,3,74.72941055297852
10,19,0.88,0.8141803979958594,0.8147463632040168,3,69.12519183158875
46,20,0.9,0.8140609546698897,0.8143618743819625,3,71.15127658843994
166,21,0.96,0.8135191926173266,0.8140286201643893,3,76.01387715339659
160,20,0.96,0.8134338159856134,0.8139356501135258,3,72.54828176498413
76,21,0.9,0.8128589505820049,0.8132570242743974,3,79.83592400550842
85,21,0.93,0.810325540887853,0.8110106133515496,3,77.09787120819092
103,22,0.89,0.8088859820494655,0.8094946437653979,3,82.57003254890442
1,19,0.85,0.8088280071387107,0.809454082019658,3,69.42325539588929
31,20,0.85,0.8086188391538973,0.8092623789355852,3,71.49873342514039
73,21,0.89,0.8084041086764561,0.8089761118014428,3,80.6415774345398
37,20,0.87,0.8075024169083098,0.8080430375205239,3,71.65911164283753
67,21,0.87,0.8074252001329281,0.8079851373062489,3,74.7469835281372
127,23,0.87,0.807323182408145,0.8078875125429,3,90.15892000198365
