index,level_0,level_1,correlation
0,MONTH,MONTH,1.0
1,MONTH,DAY,0.008845650802207729
2,MONTH,DAY_OF_WEEK,-0.008217964306004246
3,MONTH,FLIGHT_NUMBER,-0.019836355952358345
4,MONTH,SCHEDULED_DEPARTURE,0.0005426518441283446
5,MONTH,DEPARTURE_TIME,-0.0037030667562476705
6,MONTH,DEPARTURE_DELAY,-0.021445529301899566
7,MONTH,TAXI_OUT,-0.012731987181502723
8,MONTH,WHEELS_OFF,-0.0044293404513949565
9,MONTH,SCHEDULED_TIME,0.010710421177664223
10,MONTH,ELAPSED_TIME,0.001744323572911443
11,MONTH,AIR_TIME,0.0031585977277812974
12,MONTH,DISTANCE,0.011379081225000474
13,MONTH,WHEELS_ON,-0.008115747640959401
14,MONTH,TAXI_IN,0.0026680891729744132
15,MONTH,SCHEDULED_ARRIVAL,-0.009875264962635195
16,MONTH,ARRIVAL_TIME,-0.008114502542847183
17,MONTH,ARRIVAL_DELAY,-0.03635259293948088
18,MONTH,DIVERTED,-0.0006640691822456081
19,MONTH,CANCELLED,-0.055557473469846255
20,MONTH,AIR_SYSTEM_DELAY,0.0007399783477443405
21,MONTH,SECURITY_DELAY,0.009606512149904206
22,MONTH,AIRLINE_DELAY,0.012121043470869014
23,MONTH,LATE_AIRCRAFT_DELAY,0.003556581005374839
24,MONTH,WEATHER_DELAY,-0.00781423427998183
25,DAY,MONTH,0.008845650802207729
26,DAY,DAY,1.0
27,DAY,DAY_OF_WEEK,0.001012413754059061
28,DAY,FLIGHT_NUMBER,0.0014871306482337763
29,DAY,SCHEDULED_DEPARTURE,-0.0022668632871630226
30,DAY,DEPARTURE_TIME,-0.003293921269646754
31,DAY,DEPARTURE_DELAY,8.9666169599519e-06
32,DAY,TAXI_OUT,-0.0019641867952967674
33,DAY,WHEELS_OFF,-0.0038172196766675113
34,DAY,SCHEDULED_TIME,0.0030137481983756507
35,DAY,ELAPSED_TIME,0.0009834444341149278
36,DAY,AIR_TIME,0.00138986207136222
37,DAY,DISTANCE,0.0029741799161891068
38,DAY,WHEELS_ON,-0.004174194960583
39,DAY,TAXI_IN,-0.0016637146116868372
40,DAY,SCHEDULED_ARRIVAL,-0.003583286551319105
41,DAY,ARRIVAL_TIME,-0.004199857345028885
42,DAY,ARRIVAL_DELAY,-0.002939304791514401
43,DAY,DIVERTED,0.002464478043216464
44,DAY,CANCELLED,-0.0033325148484711128
45,DAY,AIR_SYSTEM_DELAY,-0.00595922523583437
46,DAY,SECURITY_DELAY,-0.00024127841336890008
47,DAY,AIRLINE_DELAY,0.006783320736460808
48,DAY,LATE_AIRCRAFT_DELAY,0.009495972860016893
49,DAY,WEATHER_DELAY,0.008671278135979128
50,DAY_OF_WEEK,MONTH,-0.008217964306004246
51,DAY_OF_WEEK,DAY,0.001012413754059061
52,DAY_OF_WEEK,DAY_OF_WEEK,1.0
53,DAY_OF_WEEK,FLIGHT_NUMBER,0.014229372456775812
54,DAY_OF_WEEK,SCHEDULED_DEPARTURE,0.007220020564634922
55,DAY_OF_WEEK,DEPARTURE_TIME,0.00482443406970403
56,DAY_OF_WEEK,DEPARTURE_DELAY,-0.011115850309238394
57,DAY_OF_WEEK,TAXI_OUT,-0.01999515104214989
58,DAY_OF_WEEK,WHEELS_OFF,0.0033290648155379406
59,DAY_OF_WEEK,SCHEDULED_TIME,0.015448237405652217
60,DAY_OF_WEEK,ELAPSED_TIME,0.012307206333864814
61,DAY_OF_WEEK,AIR_TIME,0.014930998600563085
62,DAY_OF_WEEK,DISTANCE,0.017133546880321177
63,DAY_OF_WEEK,WHEELS_ON,0.00531432992846207
64,DAY_OF_WEEK,TAXI_IN,0.0022774387224218963
65,DAY_OF_WEEK,SCHEDULED_ARRIVAL,0.006693170948433893
66,DAY_OF_WEEK,ARRIVAL_TIME,0.005146239343791932
67,DAY_OF_WEEK,ARRIVAL_DELAY,-0.016358050713544563
68,DAY_OF_WEEK,DIVERTED,-0.0012818772934996576
69,DAY_OF_WEEK,CANCELLED,-0.021474850617537827
70,DAY_OF_WEEK,AIR_SYSTEM_DELAY,-0.02257416742093595
71,DAY_OF_WEEK,SECURITY_DELAY,0.0010369947379747896
72,DAY_OF_WEEK,AIRLINE_DELAY,0.012333005790737683
73,DAY_OF_WEEK,LATE_AIRCRAFT_DELAY,-0.016867002213171306
74,DAY_OF_WEEK,WEATHER_DELAY,-0.00499143651874642
75,FLIGHT_NUMBER,MONTH,-0.019836355952358345
76,FLIGHT_NUMBER,DAY,0.0014871306482337763
77,FLIGHT_NUMBER,DAY_OF_WEEK,0.014229372456775812
78,FLIGHT_NUMBER,FLIGHT_NUMBER,1.0
79,FLIGHT_NUMBER,SCHEDULED_DEPARTURE,-0.006675938269769977
80,FLIGHT_NUMBER,DEPARTURE_TIME,-0.0028444077032943956
81,FLIGHT_NUMBER,DEPARTURE_DELAY,-0.009950979323509834
82,FLIGHT_NUMBER,TAXI_OUT,0.04975972591069914
83,FLIGHT_NUMBER,WHEELS_OFF,0.003979406999007374
84,FLIGHT_NUMBER,SCHEDULED_TIME,-0.3171927219218439
85,FLIGHT_NUMBER,ELAPSED_TIME,-0.30662012444482
86,FLIGHT_NUMBER,AIR_TIME,-0.31966600314241606
87,FLIGHT_NUMBER,DISTANCE,-0.331220014538314
88,FLIGHT_NUMBER,WHEELS_ON,-0.007207436387941285
89,FLIGHT_NUMBER,TAXI_IN,-0.019139310247037338
90,FLIGHT_NUMBER,SCHEDULED_ARRIVAL,-0.014896245122365924
91,FLIGHT_NUMBER,ARRIVAL_TIME,-0.003907789078450071
92,FLIGHT_NUMBER,ARRIVAL_DELAY,0.017131736403369437
93,FLIGHT_NUMBER,DIVERTED,0.0046474250671557195
94,FLIGHT_NUMBER,CANCELLED,0.037496629351945206
95,FLIGHT_NUMBER,AIR_SYSTEM_DELAY,-0.008605951816695325
96,FLIGHT_NUMBER,SECURITY_DELAY,-0.00924516490696054
97,FLIGHT_NUMBER,AIRLINE_DELAY,0.0064404444613679855
98,FLIGHT_NUMBER,LATE_AIRCRAFT_DELAY,0.021271515503933292
99,FLIGHT_NUMBER,WEATHER_DELAY,-0.0020184772167865833
100,SCHEDULED_DEPARTURE,MONTH,0.0005426518441283446
101,SCHEDULED_DEPARTURE,DAY,-0.0022668632871630226
102,SCHEDULED_DEPARTURE,DAY_OF_WEEK,0.007220020564634922
103,SCHEDULED_DEPARTURE,FLIGHT_NUMBER,-0.006675938269769977
104,SCHEDULED_DEPARTURE,SCHEDULED_DEPARTURE,1.0
105,SCHEDULED_DEPARTURE,DEPARTURE_TIME,0.9638677427645167
106,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,0.11002970768117902
107,SCHEDULED_DEPARTURE,TAXI_OUT,0.006135161282021055
108,SCHEDULED_DEPARTURE,WHEELS_OFF,0.9383197403500855
109,SCHEDULED_DEPARTURE,SCHEDULED_TIME,-0.01654689742990855
110,SCHEDULED_DEPARTURE,ELAPSED_TIME,-0.018125981727720418
111,SCHEDULED_DEPARTURE,AIR_TIME,-0.0158612576265153
112,SCHEDULED_DEPARTURE,DISTANCE,-0.009479252762013855
113,SCHEDULED_DEPARTURE,WHEELS_ON,0.656183729320938
114,SCHEDULED_DEPARTURE,TAXI_IN,-0.04514902785953225
115,SCHEDULED_DEPARTURE,SCHEDULED_ARRIVAL,0.7061638088017872
116,SCHEDULED_DEPARTURE,ARRIVAL_TIME,0.6289815362376988
117,SCHEDULED_DEPARTURE,ARRIVAL_DELAY,0.09984973497297292
118,SCHEDULED_DEPARTURE,DIVERTED,-0.0008578855721177479
119,SCHEDULED_DEPARTURE,CANCELLED,0.010433269923710712
120,SCHEDULED_DEPARTURE,AIR_SYSTEM_DELAY,-0.07561664836570077
121,SCHEDULED_DEPARTURE,SECURITY_DELAY,-0.007377961619182831
122,SCHEDULED_DEPARTURE,AIRLINE_DELAY,-0.08875971410940733
123,SCHEDULED_DEPARTURE,LATE_AIRCRAFT_DELAY,0.1454031008085295
124,SCHEDULED_DEPARTURE,WEATHER_DELAY,-0.016375207373897634
125,DEPARTURE_TIME,MONTH,-0.0037030667562476705
126,DEPARTURE_TIME,DAY,-0.003293921269646754
127,DEPARTURE_TIME,DAY_OF_WEEK,0.00482443406970403
128,DEPARTURE_TIME,FLIGHT_NUMBER,-0.0028444077032943956
129,DEPARTURE_TIME,SCHEDULED_DEPARTURE,0.9638677427645167
130,DEPARTURE_TIME,DEPARTURE_TIME,1.0
131,DEPARTURE_TIME,DEPARTURE_DELAY,0.17225644405463916
132,DEPARTURE_TIME,TAXI_OUT,0.013576447803199275
133,DEPARTURE_TIME,WHEELS_OFF,0.9720414066135502
134,DEPARTURE_TIME,SCHEDULED_TIME,-0.02063849711681872
135,DEPARTURE_TIME,ELAPSED_TIME,-0.021927018450013575
136,DEPARTURE_TIME,AIR_TIME,-0.020996421266622635
137,DEPARTURE_TIME,DISTANCE,-0.01615371528416073
138,DEPARTURE_TIME,WHEELS_ON,0.6757370702081954
139,DEPARTURE_TIME,TAXI_IN,-0.04097770166316887
140,DEPARTURE_TIME,SCHEDULED_ARRIVAL,0.7096577546434429
141,DEPARTURE_TIME,ARRIVAL_TIME,0.6476326741763961
142,DEPARTURE_TIME,ARRIVAL_DELAY,0.16006789937627694
143,DEPARTURE_TIME,DIVERTED,0.0012527524301714403
144,DEPARTURE_TIME,CANCELLED,0.007426235438871426
145,DEPARTURE_TIME,AIR_SYSTEM_DELAY,-0.0463378771958021
146,DEPARTURE_TIME,SECURITY_DELAY,-0.006335175103688473
147,DEPARTURE_TIME,AIRLINE_DELAY,-0.02103889694968483
148,DEPARTURE_TIME,LATE_AIRCRAFT_DELAY,0.18238789763788238
149,DEPARTURE_TIME,WEATHER_DELAY,-0.005177769840933573
150,DEPARTURE_DELAY,MONTH,-0.021445529301899566
151,DEPARTURE_DELAY,DAY,8.9666169599519e-06
152,DEPARTURE_DELAY,DAY_OF_WEEK,-0.011115850309238394
153,DEPARTURE_DELAY,FLIGHT_NUMBER,-0.009950979323509834
154,DEPARTURE_DELAY,SCHEDULED_DEPARTURE,0.11002970768117902
155,DEPARTURE_DELAY,DEPARTURE_TIME,0.17225644405463916
156,DEPARTURE_DELAY,DEPARTURE_DELAY,1.0
157,DEPARTURE_DELAY,TAXI_OUT,0.0587189983158155
158,DEPARTURE_DELAY,WHEELS_OFF,0.16352508889121806
159,DEPARTURE_DELAY,SCHEDULED_TIME,0.02815625375424131
160,DEPARTURE_DELAY,ELAPSED_TIME,0.031051291975662337
161,DEPARTURE_DELAY,AIR_TIME,0.02375359976115572
162,DEPARTURE_DELAY,DISTANCE,0.0245002972993872
163,DEPARTURE_DELAY,WHEELS_ON,0.05812041768520088
164,DEPARTURE_DELAY,TAXI_IN,0.01237657441754259
165,DEPARTURE_DELAY,SCHEDULED_ARRIVAL,0.09784380650294297
166,DEPARTURE_DELAY,ARRIVAL_TIME,0.04855037271863931
167,DEPARTURE_DELAY,ARRIVAL_DELAY,0.9445967056189637
168,DEPARTURE_DELAY,DIVERTED,0.023531004503265812
169,DEPARTURE_DELAY,CANCELLED,0.03388926867990119
170,DEPARTURE_DELAY,AIR_SYSTEM_DELAY,0.09758733427004834
171,DEPARTURE_DELAY,SECURITY_DELAY,0.00922410771407084
172,DEPARTURE_DELAY,AIRLINE_DELAY,0.6211651262155413
173,DEPARTURE_DELAY,LATE_AIRCRAFT_DELAY,0.5572172997592713
174,DEPARTURE_DELAY,WEATHER_DELAY,0.2366922640775342
175,TAXI_OUT,MONTH,-0.012731987181502723
176,TAXI_OUT,DAY,-0.0019641867952967674
177,TAXI_OUT,DAY_OF_WEEK,-0.01999515104214989
178,TAXI_OUT,FLIGHT_NUMBER,0.04975972591069914
179,TAXI_OUT,SCHEDULED_DEPARTURE,0.006135161282021055
180,TAXI_OUT,DEPARTURE_TIME,0.013576447803199275
181,TAXI_OUT,DEPARTURE_DELAY,0.0587189983158155
182,TAXI_OUT,TAXI_OUT,1.0
183,TAXI_OUT,WHEELS_OFF,0.03848415139862104
184,TAXI_OUT,SCHEDULED_TIME,0.11290838545039163
185,TAXI_OUT,ELAPSED_TIME,0.2057781388812275
186,TAXI_OUT,AIR_TIME,0.0884586361618539
187,TAXI_OUT,DISTANCE,0.07310269774105137
188,TAXI_OUT,WHEELS_ON,0.033194516848420993
189,TAXI_OUT,TAXI_IN,0.0019241733426970894
190,TAXI_OUT,SCHEDULED_ARRIVAL,0.024317999124646373
191,TAXI_OUT,ARRIVAL_TIME,0.030188828594499575
192,TAXI_OUT,ARRIVAL_DELAY,0.22763520956641523
193,TAXI_OUT,DIVERTED,0.012172202023159424
194,TAXI_OUT,CANCELLED,0.006139083063186733
195,TAXI_OUT,AIR_SYSTEM_DELAY,0.36219040020102816
196,TAXI_OUT,SECURITY_DELAY,-0.006864132862006574
197,TAXI_OUT,AIRLINE_DELAY,-0.06856971752818271
198,TAXI_OUT,LATE_AIRCRAFT_DELAY,-0.12873944073969343
199,TAXI_OUT,WEATHER_DELAY,0.06491852015926554
200,WHEELS_OFF,MONTH,-0.0044293404513949565
201,WHEELS_OFF,DAY,-0.0038172196766675113
202,WHEELS_OFF,DAY_OF_WEEK,0.0033290648155379406
203,WHEELS_OFF,FLIGHT_NUMBER,0.003979406999007374
204,WHEELS_OFF,SCHEDULED_DEPARTURE,0.9383197403500855
205,WHEELS_OFF,DEPARTURE_TIME,0.9720414066135502
206,WHEELS_OFF,DEPARTURE_DELAY,0.16352508889121806
207,WHEELS_OFF,TAXI_OUT,0.03848415139862104
208,WHEELS_OFF,WHEELS_OFF,1.0
209,WHEELS_OFF,SCHEDULED_TIME,-0.027989242602714126
210,WHEELS_OFF,ELAPSED_TIME,-0.026966506431583277
211,WHEELS_OFF,AIR_TIME,-0.029370674059903044
212,WHEELS_OFF,DISTANCE,-0.027142816893634004
213,WHEELS_OFF,WHEELS_ON,0.6955999618382401
214,WHEELS_OFF,TAXI_IN,-0.03912403788694297
215,WHEELS_OFF,SCHEDULED_ARRIVAL,0.7215446747970985
216,WHEELS_OFF,ARRIVAL_TIME,0.6673725034242477
217,WHEELS_OFF,ARRIVAL_DELAY,0.15640683997891988
218,WHEELS_OFF,DIVERTED,0.0014411651431197282
219,WHEELS_OFF,CANCELLED,0.0047299603651450375
220,WHEELS_OFF,AIR_SYSTEM_DELAY,-0.02924484070221561
221,WHEELS_OFF,SECURITY_DELAY,-0.006490110073291994
222,WHEELS_OFF,AIRLINE_DELAY,-0.029010698690838433
223,WHEELS_OFF,LATE_AIRCRAFT_DELAY,0.15664850366947825
224,WHEELS_OFF,WEATHER_DELAY,-0.009490881532715323
225,SCHEDULED_TIME,MONTH,0.010710421177664223
226,SCHEDULED_TIME,DAY,0.0030137481983756507
227,SCHEDULED_TIME,DAY_OF_WEEK,0.015448237405652217
228,SCHEDULED_TIME,FLIGHT_NUMBER,-0.3171927219218439
229,SCHEDULED_TIME,SCHEDULED_DEPARTURE,-0.01654689742990855
230,SCHEDULED_TIME,DEPARTURE_TIME,-0.02063849711681872
231,SCHEDULED_TIME,DEPARTURE_DELAY,0.02815625375424131
232,SCHEDULED_TIME,TAXI_OUT,0.11290838545039163
233,SCHEDULED_TIME,WHEELS_OFF,-0.027989242602714126
234,SCHEDULED_TIME,SCHEDULED_TIME,1.0
235,SCHEDULED_TIME,ELAPSED_TIME,0.985289573862426
236,SCHEDULED_TIME,AIR_TIME,0.9907769364870881
237,SCHEDULED_TIME,DISTANCE,0.984348218637489
238,SCHEDULED_TIME,WHEELS_ON,0.023143624396071684
239,SCHEDULED_TIME,TAXI_IN,0.09873562915437464
240,SCHEDULED_TIME,SCHEDULED_ARRIVAL,0.03177138268816957
241,SCHEDULED_TIME,ARRIVAL_TIME,0.020210408343953167
242,SCHEDULED_TIME,ARRIVAL_DELAY,-0.02984358813285617
243,SCHEDULED_TIME,DIVERTED,0.013077417666387115
244,SCHEDULED_TIME,CANCELLED,-0.02760541912936267
245,SCHEDULED_TIME,AIR_SYSTEM_DELAY,0.02930830398249578
246,SCHEDULED_TIME,SECURITY_DELAY,0.0072695530417460135
247,SCHEDULED_TIME,AIRLINE_DELAY,0.03583502372140557
248,SCHEDULED_TIME,LATE_AIRCRAFT_DELAY,-0.04621476731093478
249,SCHEDULED_TIME,WEATHER_DELAY,0.0011150009663517034
250,ELAPSED_TIME,MONTH,0.001744323572911443
251,ELAPSED_TIME,DAY,0.0009834444341149278
252,ELAPSED_TIME,DAY_OF_WEEK,0.012307206333864814
253,ELAPSED_TIME,FLIGHT_NUMBER,-0.30662012444482
254,ELAPSED_TIME,SCHEDULED_DEPARTURE,-0.018125981727720418
255,ELAPSED_TIME,DEPARTURE_TIME,-0.021927018450013575
256,ELAPSED_TIME,DEPARTURE_DELAY,0.031051291975662337
257,ELAPSED_TIME,TAXI_OUT,0.2057781388812275
258,ELAPSED_TIME,WHEELS_OFF,-0.026966506431583277
259,ELAPSED_TIME,SCHEDULED_TIME,0.985289573862426
260,ELAPSED_TIME,ELAPSED_TIME,1.0
261,ELAPSED_TIME,AIR_TIME,0.9900639870118619
262,ELAPSED_TIME,DISTANCE,0.973743868779246
263,ELAPSED_TIME,WHEELS_ON,0.025425579056998097
264,ELAPSED_TIME,TAXI_IN,0.1558678318231611
265,ELAPSED_TIME,SCHEDULED_ARRIVAL,0.03093935836903231
266,ELAPSED_TIME,ARRIVAL_TIME,0.022409927845645876
267,ELAPSED_TIME,ARRIVAL_DELAY,0.029192879333260206
268,ELAPSED_TIME,AIR_SYSTEM_DELAY,0.14954074120882843
269,ELAPSED_TIME,SECURITY_DELAY,0.004418988888796224
270,ELAPSED_TIME,AIRLINE_DELAY,0.0015131420838190393
271,ELAPSED_TIME,LATE_AIRCRAFT_DELAY,-0.09377831713210966
272,ELAPSED_TIME,WEATHER_DELAY,0.009635214466175013
273,AIR_TIME,MONTH,0.0031585977277812974
274,AIR_TIME,DAY,0.00138986207136222
275,AIR_TIME,DAY_OF_WEEK,0.014930998600563085
276,AIR_TIME,FLIGHT_NUMBER,-0.31966600314241606
277,AIR_TIME,SCHEDULED_DEPARTURE,-0.0158612576265153
278,AIR_TIME,DEPARTURE_TIME,-0.020996421266622635
279,AIR_TIME,DEPARTURE_DELAY,0.02375359976115572
280,AIR_TIME,TAXI_OUT,0.0884586361618539
281,AIR_TIME,WHEELS_OFF,-0.029370674059903044
282,AIR_TIME,SCHEDULED_TIME,0.9907769364870881
283,AIR_TIME,ELAPSED_TIME,0.9900639870118619
284,AIR_TIME,AIR_TIME,1.0
285,AIR_TIME,DISTANCE,0.9856736565590898
286,AIR_TIME,WHEELS_ON,0.02243964251452802
287,AIR_TIME,TAXI_IN,0.08215417077562634
288,AIR_TIME,SCHEDULED_ARRIVAL,0.02938449151856986
289,AIR_TIME,ARRIVAL_TIME,0.019163301874949305
290,AIR_TIME,ARRIVAL_DELAY,-0.007009707108978706
291,AIR_TIME,AIR_SYSTEM_DELAY,0.05492327262266424
292,AIR_TIME,SECURITY_DELAY,0.006635554761756093
293,AIR_TIME,AIRLINE_DELAY,0.021192957568491093
294,AIR_TIME,LATE_AIRCRAFT_DELAY,-0.06539961806566501
295,AIR_TIME,WEATHER_DELAY,-0.002811676018412891
296,DISTANCE,MONTH,0.011379081225000474
297,DISTANCE,DAY,0.0029741799161891068
