,index,feature_1,feature_2,correlation
282,26,AIR_TIME,SCHEDULED_TIME,0.990776936487088
283,28,AIR_TIME,ELAPSED_TIME,0.990063987011862
285,30,AIR_TIME,DISTANCE,0.9856736565590898
259,32,ELAPSED_TIME,SCHEDULED_TIME,0.9852895738624259
305,34,DISTANCE,SCHEDULED_TIME,0.9843482186374891
262,36,ELAPSED_TIME,DISTANCE,0.9737438687792459
205,38,WHEELS_OFF,DEPARTURE_TIME,0.9720414066135502
407,40,ARRIVAL_TIME,WHEELS_ON,0.9675330964468648
105,42,SCHEDULED_DEPARTURE,DEPARTURE_TIME,0.9638677427645168
424,44,ARRIVAL_DELAY,DEPARTURE_DELAY,0.9445967056189636
204,46,WHEELS_OFF,SCHEDULED_DEPARTURE,0.9383197403500856
336,48,WHEELS_ON,SCHEDULED_ARRIVAL,0.8701053559929017
409,50,ARRIVAL_TIME,SCHEDULED_ARRIVAL,0.8616455652591488
215,52,WHEELS_OFF,SCHEDULED_ARRIVAL,0.7215446747970985
140,54,DEPARTURE_TIME,SCHEDULED_ARRIVAL,0.7096577546434429
373,56,SCHEDULED_ARRIVAL,SCHEDULED_DEPARTURE,0.7061638088017872
329,58,WHEELS_ON,WHEELS_OFF,0.6955999618382401
138,60,DEPARTURE_TIME,WHEELS_ON,0.6757370702081954
402,62,ARRIVAL_TIME,WHEELS_OFF,0.6673725034242477
113,64,SCHEDULED_DEPARTURE,WHEELS_ON,0.6561837293209379
399,66,ARRIVAL_TIME,DEPARTURE_TIME,0.6476326741763961
116,68,SCHEDULED_DEPARTURE,ARRIVAL_TIME,0.6289815362376988
524,70,AIRLINE_DELAY,DEPARTURE_DELAY,0.6211651262155413
535,72,AIRLINE_DELAY,ARRIVAL_DELAY,0.6098808734582954
547,74,LATE_AIRCRAFT_DELAY,DEPARTURE_DELAY,0.5572172997592713
558,76,LATE_AIRCRAFT_DELAY,ARRIVAL_DELAY,0.5242510694174901
195,78,TAXI_OUT,AIR_SYSTEM_DELAY,0.36219040020102816
440,80,ARRIVAL_DELAY,WEATHER_DELAY,0.2580483147424261
489,82,AIR_SYSTEM_DELAY,ARRIVAL_DELAY,0.248237956495668
486,84,AIR_SYSTEM_DELAY,TAXI_IN,0.2405309638798997
570,86,WEATHER_DELAY,DEPARTURE_DELAY,0.2366922640775342
425,88,ARRIVAL_DELAY,TAXI_OUT,0.22763520956641525
185,90,TAXI_OUT,ELAPSED_TIME,0.2057781388812275
546,92,LATE_AIRCRAFT_DELAY,DEPARTURE_TIME,0.1823878976378824
131,94,DEPARTURE_TIME,DEPARTURE_DELAY,0.17225644405463916
206,96,WHEELS_OFF,DEPARTURE_DELAY,0.16352508889121806
423,98,ARRIVAL_DELAY,DEPARTURE_TIME,0.16006789937627694
549,100,LATE_AIRCRAFT_DELAY,WHEELS_OFF,0.15664850366947825
217,102,WHEELS_OFF,ARRIVAL_DELAY,0.15640683997891988
264,104,ELAPSED_TIME,TAXI_IN,0.1558678318231611
268,106,ELAPSED_TIME,AIR_SYSTEM_DELAY,0.14954074120882846
123,108,SCHEDULED_DEPARTURE,LATE_AIRCRAFT_DELAY,0.1454031008085295
362,110,TAXI_IN,ARRIVAL_DELAY,0.11624918930651293
232,112,SCHEDULED_TIME,TAXI_OUT,0.11290838545039165
392,114,SCHEDULED_ARRIVAL,LATE_AIRCRAFT_DELAY,0.11132761901103723
106,116,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,0.11002970768117902
422,118,ARRIVAL_DELAY,SCHEDULED_DEPARTURE,0.09984973497297292
354,120,TAXI_IN,SCHEDULED_TIME,0.09873562915437464
375,122,SCHEDULED_ARRIVAL,DEPARTURE_DELAY,0.09784380650294296
170,124,DEPARTURE_DELAY,AIR_SYSTEM_DELAY,0.09758733427004834
386,126,SCHEDULED_ARRIVAL,ARRIVAL_DELAY,0.0891767218400622
280,128,AIR_TIME,TAXI_OUT,0.0884586361618539
356,130,TAXI_IN,AIR_TIME,0.08215417077562634
357,132,TAXI_IN,DISTANCE,0.07484016629361466
303,134,DISTANCE,TAXI_OUT,0.07310269774105138
199,136,TAXI_OUT,WEATHER_DELAY,0.06491852015926554
157,138,DEPARTURE_DELAY,TAXI_OUT,0.0587189983158155
431,140,ARRIVAL_DELAY,WHEELS_ON,0.05842477280780231
327,142,WHEELS_ON,DEPARTURE_DELAY,0.058120417685200876
483,144,AIR_SYSTEM_DELAY,AIR_TIME,0.054923272622664235
178,146,TAXI_OUT,FLIGHT_NUMBER,0.04975972591069914
434,148,ARRIVAL_DELAY,ARRIVAL_TIME,0.04932363229109067
400,150,ARRIVAL_TIME,DEPARTURE_DELAY,0.04855037271863931
207,152,WHEELS_OFF,TAXI_OUT,0.03848415139862104
94,154,FLIGHT_NUMBER,CANCELLED,0.037496629351945206
247,156,SCHEDULED_TIME,AIRLINE_DELAY,0.03583502372140557
318,158,DISTANCE,AIRLINE_DELAY,0.0350917813274648
464,160,CANCELLED,DEPARTURE_DELAY,0.033889268679901184
328,162,WHEELS_ON,TAXI_OUT,0.033194516848420993
378,164,SCHEDULED_ARRIVAL,SCHEDULED_TIME,0.03177138268816957
256,166,ELAPSED_TIME,DEPARTURE_DELAY,0.031051291975662337
265,168,ELAPSED_TIME,SCHEDULED_ARRIVAL,0.030939358369032312
401,170,ARRIVAL_TIME,TAXI_OUT,0.030188828594499575
380,172,SCHEDULED_ARRIVAL,AIR_TIME,0.029384491518569863
481,174,AIR_SYSTEM_DELAY,SCHEDULED_TIME,0.02930830398249578
428,176,ARRIVAL_DELAY,ELAPSED_TIME,0.029192879333260206
159,178,DEPARTURE_DELAY,SCHEDULED_TIME,0.02815625375424131
381,180,SCHEDULED_ARRIVAL,DISTANCE,0.027276469640153258
263,182,ELAPSED_TIME,WHEELS_ON,0.025425579056998097
162,184,DEPARTURE_DELAY,DISTANCE,0.0245002972993872
190,186,TAXI_OUT,SCHEDULED_ARRIVAL,0.024317999124646373
161,188,DEPARTURE_DELAY,AIR_TIME,0.02375359976115572
447,190,DIVERTED,DEPARTURE_DELAY,0.02353100450326581
238,192,SCHEDULED_TIME,WHEELS_ON,0.023143624396071684
453,194,DIVERTED,TAXI_IN,0.02269410141033645
286,196,AIR_TIME,WHEELS_ON,0.02243964251452802
266,198,ELAPSED_TIME,ARRIVAL_TIME,0.022409927845645883
544,200,LATE_AIRCRAFT_DELAY,FLIGHT_NUMBER,0.02127151550393329
293,202,AIR_TIME,AIRLINE_DELAY,0.02119295756849109
403,204,ARRIVAL_TIME,SCHEDULED_TIME,0.020210408343953167
405,206,ARRIVAL_TIME,AIR_TIME,0.019163301874949305
333,208,WHEELS_ON,DISTANCE,0.018810511208648618
62,210,DAY_OF_WEEK,DISTANCE,0.017133546880321177
421,212,ARRIVAL_DELAY,FLIGHT_NUMBER,0.017131736403369437
227,214,SCHEDULED_TIME,DAY_OF_WEEK,0.015448237405652215
312,216,DISTANCE,ARRIVAL_TIME,0.014974379711023141
275,218,AIR_TIME,DAY_OF_WEEK,0.014930998600563085
77,220,FLIGHT_NUMBER,DAY_OF_WEEK,0.014229372456775812
316,222,DISTANCE,AIR_SYSTEM_DELAY,0.013982483216605971
132,224,DEPARTURE_TIME,TAXI_OUT,0.013576447803199276
450,226,DIVERTED,SCHEDULED_TIME,0.013077417666387115
164,228,DEPARTURE_DELAY,TAXI_IN,0.01237657441754259
520,230,AIRLINE_DELAY,DAY_OF_WEEK,0.012333005790737685
60,232,DAY_OF_WEEK,ELAPSED_TIME,0.012307206333864814
193,234,TAXI_OUT,DIVERTED,0.012172202023159424
518,236,AIRLINE_DELAY,MONTH,0.012121043470869014
451,238,DIVERTED,DISTANCE,0.011912149585026096
296,240,DISTANCE,MONTH,0.011379081225000474
9,242,MONTH,SCHEDULED_TIME,0.010710421177664223
462,244,CANCELLED,SCHEDULED_DEPARTURE,0.010433269923710712
574,246,WEATHER_DELAY,ELAPSED_TIME,0.009635214466175013
21,248,MONTH,SECURITY_DELAY,0.009606512149904206
48,250,DAY,LATE_AIRCRAFT_DELAY,0.009495972860016893
501,252,SECURITY_DELAY,DEPARTURE_DELAY,0.009224107714070841
25,254,DAY,MONTH,0.008845650802207729
565,256,WEATHER_DELAY,DAY,0.008671278135979128
485,258,AIR_SYSTEM_DELAY,WHEELS_ON,0.0076770957289955
144,260,DEPARTURE_TIME,CANCELLED,0.007426235438871427
507,262,SECURITY_DELAY,DISTANCE,0.007281588599408322
504,264,SECURITY_DELAY,SCHEDULED_TIME,0.007269553041746013
54,266,DAY_OF_WEEK,SCHEDULED_DEPARTURE,0.007220020564634922
452,268,DIVERTED,WHEELS_ON,0.006939646424403071
519,270,AIRLINE_DELAY,DAY,0.006783320736460808
371,272,SCHEDULED_ARRIVAL,DAY_OF_WEEK,0.006693170948433893
292,274,AIR_TIME,SECURITY_DELAY,0.006635554761756093
469,276,CANCELLED,SCHEDULED_ARRIVAL,0.006626568307326981
437,278,ARRIVAL_DELAY,SECURITY_DELAY,0.006453982174352568
97,280,FLIGHT_NUMBER,AIRLINE_DELAY,0.0064404444613679855
194,282,TAXI_OUT,CANCELLED,0.006139083063186733
107,284,SCHEDULED_DEPARTURE,TAXI_OUT,0.006135161282021055
413,286,ARRIVAL_TIME,AIR_SYSTEM_DELAY,0.005865592744985321
412,288,ARRIVAL_TIME,DIVERTED,0.005568459135018879
323,290,WHEELS_ON,DAY_OF_WEEK,0.005314329928462071
66,292,DAY_OF_WEEK,ARRIVAL_TIME,0.005146239343791932
454,294,DIVERTED,SCHEDULED_ARRIVAL,0.004867465857346277
127,296,DEPARTURE_TIME,DAY_OF_WEEK,0.00482443406970403
219,298,WHEELS_OFF,CANCELLED,0.004729960365145038
444,300,DIVERTED,FLIGHT_NUMBER,0.00464742506715572
269,302,ELAPSED_TIME,SECURITY_DELAY,0.0044189888887962245
203,304,WHEELS_OFF,FLIGHT_NUMBER,0.003979406999007374
541,306,LATE_AIRCRAFT_DELAY,MONTH,0.003556581005374839
58,308,DAY_OF_WEEK,WHEELS_OFF,0.003329064815537941
11,310,MONTH,AIR_TIME,0.003158597727781297
34,312,DAY,SCHEDULED_TIME,0.003013748198375651
297,314,DISTANCE,DAY,0.002974179916189107
345,316,TAXI_IN,MONTH,0.002668089172974413
43,318,DAY,DIVERTED,0.0024644780432164642
347,320,TAXI_IN,DAY_OF_WEEK,0.0022774387224218963
361,322,TAXI_IN,ARRIVAL_TIME,0.0021076287168028136
352,324,TAXI_IN,TAXI_OUT,0.001924173342697089
250,326,ELAPSED_TIME,MONTH,0.001744323572911443
270,328,ELAPSED_TIME,AIRLINE_DELAY,0.0015131420838190393
76,330,FLIGHT_NUMBER,DAY,0.0014871306482337765
449,332,DIVERTED,WHEELS_OFF,0.0014411651431197284
274,334,AIR_TIME,DAY,0.00138986207136222
446,336,DIVERTED,DEPARTURE_TIME,0.0012527524301714403
249,338,SCHEDULED_TIME,WEATHER_DELAY,0.0011150009663517034
497,340,SECURITY_DELAY,DAY_OF_WEEK,0.0010369947379747896
27,342,DAY,DAY_OF_WEEK,0.0010124137540590608
35,344,DAY,ELAPSED_TIME,0.0009834444341149278
472,346,AIR_SYSTEM_DELAY,MONTH,0.0007399783477443406
100,348,SCHEDULED_DEPARTURE,MONTH,0.0005426518441283446
31,350,DAY,DEPARTURE_DELAY,8.966616959951899e-06
496,352,SECURITY_DELAY,DAY,-0.0002412784133689001
494,354,AIR_SYSTEM_DELAY,WEATHER_DELAY,-0.00043492050855816
368,356,TAXI_IN,WEATHER_DELAY,-0.0004461018305401373
18,358,MONTH,DIVERTED,-0.0006640691822456081
445,360,DIVERTED,SCHEDULED_DEPARTURE,-0.0008578855721177479
443,362,DIVERTED,DAY_OF_WEEK,-0.0012818772934996574
346,364,TAXI_IN,DAY,-0.0016637146116868372
176,366,TAXI_OUT,DAY,-0.0019641867952967674
567,368,WEATHER_DELAY,FLIGHT_NUMBER,-0.0020184772167865838
29,370,DAY,SCHEDULED_DEPARTURE,-0.0022668632871630226
575,372,WEATHER_DELAY,AIR_TIME,-0.002811676018412891
80,374,FLIGHT_NUMBER,DEPARTURE_TIME,-0.002844407703294396
419,376,ARRIVAL_DELAY,DAY,-0.002939304791514401
126,378,DEPARTURE_TIME,DAY,-0.0032939212696467537
44,380,DAY,CANCELLED,-0.0033325148484711128
370,382,SCHEDULED_ARRIVAL,DAY,-0.0035832865513191047
5,384,MONTH,DEPARTURE_TIME,-0.003703066756247671
201,386,WHEELS_OFF,DAY,-0.003817219676667511
397,388,ARRIVAL_TIME,FLIGHT_NUMBER,-0.003907789078450071
38,390,DAY,WHEELS_ON,-0.004174194960582999
395,392,ARRIVAL_TIME,DAY,-0.004199857345028885
510,394,SECURITY_DELAY,SCHEDULED_ARRIVAL,-0.0043189487613662075
8,396,MONTH,WHEELS_OFF,-0.004429340451394957
358,398,TAXI_IN,WHEELS_ON,-0.004470631160616276
517,400,SECURITY_DELAY,WEATHER_DELAY,-0.004763901195478658
74,402,DAY_OF_WEEK,WEATHER_DELAY,-0.00499143651874642
149,404,DEPARTURE_TIME,WEATHER_DELAY,-0.005177769840933572
365,406,TAXI_IN,SECURITY_DELAY,-0.00545373843035552
511,408,SECURITY_DELAY,ARRIVAL_TIME,-0.005730810312336222
473,410,AIR_SYSTEM_DELAY,DAY,-0.0059592252358343705
341,412,WHEELS_ON,SECURITY_DELAY,-0.005966998561184471
320,414,DISTANCE,WEATHER_DELAY,-0.006292720927780884
500,416,SECURITY_DELAY,DEPARTURE_TIME,-0.006335175103688473
457,418,DIVERTED,CANCELLED,-0.006421139433908564
503,420,SECURITY_DELAY,WHEELS_OFF,-0.0064901100732919935
554,422,LATE_AIRCRAFT_DELAY,WHEELS_ON,-0.0065647840900375535
79,424,FLIGHT_NUMBER,SCHEDULED_DEPARTURE,-0.006675938269769977
502,426,SECURITY_DELAY,TAXI_OUT,-0.006864132862006574
290,428,AIR_TIME,ARRIVAL_DELAY,-0.007009707108978706
324,430,WHEELS_ON,FLIGHT_NUMBER,-0.007207436387941284
360,432,TAXI_IN,SCHEDULED_ARRIVAL,-0.007292570836717032
121,434,SCHEDULED_DEPARTURE,SECURITY_DELAY,-0.0073779616191828315
24,436,MONTH,WEATHER_DELAY,-0.00781423427998183
16,438,MONTH,ARRIVAL_TIME,-0.008114502542847183
321,440,WHEELS_ON,MONTH,-0.008115747640959401
50,442,DAY_OF_WEEK,MONTH,-0.008217964306004246
393,444,SCHEDULED_ARRIVAL,WEATHER_DELAY,-0.008440044403283511
95,446,FLIGHT_NUMBER,AIR_SYSTEM_DELAY,-0.008605951816695325
498,448,SECURITY_DELAY,FLIGHT_NUMBER,-0.00924516490696054
112,450,SCHEDULED_DEPARTURE,DISTANCE,-0.009479252762013857
224,452,WHEELS_OFF,WEATHER_DELAY,-0.009490881532715323
369,454,SCHEDULED_ARRIVAL,MONTH,-0.009875264962635195
81,456,FLIGHT_NUMBER,DEPARTURE_DELAY,-0.009950979323509834
56,458,DAY_OF_WEEK,DEPARTURE_DELAY,-0.011115850309238394
513,460,SECURITY_DELAY,AIR_SYSTEM_DELAY,-0.011286515940564987
516,462,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,-0.01223001743079804
175,464,TAXI_OUT,MONTH,-0.012731987181502723
515,466,SECURITY_DELAY,AIRLINE_DELAY,-0.012965541295063944
557,468,LATE_AIRCRAFT_DELAY,ARRIVAL_TIME,-0.014304287505144557
372,470,SCHEDULED_ARRIVAL,FLIGHT_NUMBER,-0.014896245122365925
111,472,SCHEDULED_DEPARTURE,AIR_TIME,-0.0158612576265153
301,474,DISTANCE,DEPARTURE_TIME,-0.016153715284160732
420,476,ARRIVAL_DELAY,DAY_OF_WEEK,-0.016358050713544563
568,478,WEATHER_DELAY,SCHEDULED_DEPARTURE,-0.016375207373897634
109,480,SCHEDULED_DEPARTURE,SCHEDULED_TIME,-0.01654689742990855
73,482,DAY_OF_WEEK,LATE_AIRCRAFT_DELAY,-0.016867002213171306
254,484,ELAPSED_TIME,SCHEDULED_DEPARTURE,-0.018125981727720415
89,486,FLIGHT_NUMBER,TAXI_IN,-0.019139310247037338
75,488,FLIGHT_NUMBER,MONTH,-0.019836355952358345
177,490,TAXI_OUT,DAY_OF_WEEK,-0.01999515104214989
230,492,SCHEDULED_TIME,DEPARTURE_TIME,-0.02063849711681872
278,494,AIR_TIME,DEPARTURE_TIME,-0.02099642126662264
523,496,AIRLINE_DELAY,DEPARTURE_TIME,-0.021038896949684832
6,498,MONTH,DEPARTURE_DELAY,-0.02144552930189957
460,500,CANCELLED,DAY_OF_WEEK,-0.021474850617537827
135,502,DEPARTURE_TIME,ELAPSED_TIME,-0.02192701845001357
563,504,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,-0.022281370891312158
474,506,AIR_SYSTEM_DELAY,DAY_OF_WEEK,-0.02257416742093595
313,508,DISTANCE,ARRIVAL_DELAY,-0.025233093002696227
580,510,WEATHER_DELAY,ARRIVAL_TIME,-0.026577921500089963
577,512,WEATHER_DELAY,WHEELS_ON,-0.026734662172738108
210,514,WHEELS_OFF,ELAPSED_TIME,-0.02696650643158328
304,516,DISTANCE,WHEELS_OFF,-0.027142816893634004
467,518,CANCELLED,SCHEDULED_TIME,-0.02760541912936267
209,520,WHEELS_OFF,SCHEDULED_TIME,-0.02798924260271413
487,522,AIR_SYSTEM_DELAY,SCHEDULED_ARRIVAL,-0.028806357482779738
222,524,WHEELS_OFF,AIRLINE_DELAY,-0.029010698690838436
480,526,AIR_SYSTEM_DELAY,WHEELS_OFF,-0.029244840702215613
211,528,WHEELS_OFF,AIR_TIME,-0.029370674059903044
427,530,ARRIVAL_DELAY,SCHEDULED_TIME,-0.029843588132856168
315,532,DISTANCE,CANCELLED,-0.032742364101380685
418,534,ARRIVAL_DELAY,MONTH,-0.03635259293948088
214,536,WHEELS_OFF,TAXI_IN,-0.03912403788694297
350,538,TAXI_IN,DEPARTURE_TIME,-0.040977701663168865
349,540,TAXI_IN,SCHEDULED_DEPARTURE,-0.04514902785953225
319,542,DISTANCE,LATE_AIRCRAFT_DELAY,-0.04619409142512655
248,544,SCHEDULED_TIME,LATE_AIRCRAFT_DELAY,-0.04621476731093478
145,546,DEPARTURE_TIME,AIR_SYSTEM_DELAY,-0.0463378771958021
366,548,TAXI_IN,AIRLINE_DELAY,-0.04943281516194128
584,550,WEATHER_DELAY,AIRLINE_DELAY,-0.050640295211856944
19,552,MONTH,CANCELLED,-0.055557473469846255
367,554,TAXI_IN,LATE_AIRCRAFT_DELAY,-0.0566149295052218
531,556,AIRLINE_DELAY,WHEELS_ON,-0.0603046521290045
415,558,ARRIVAL_TIME,AIRLINE_DELAY,-0.06174815356638505
294,560,AIR_TIME,LATE_AIRCRAFT_DELAY,-0.06539961806566501
197,562,TAXI_OUT,AIRLINE_DELAY,-0.06856971752818271
391,564,SCHEDULED_ARRIVAL,AIRLINE_DELAY,-0.07278013454142418
476,566,AIR_SYSTEM_DELAY,SCHEDULED_DEPARTURE,-0.07561664836570077
122,568,SCHEDULED_DEPARTURE,AIRLINE_DELAY,-0.08875971410940732
551,570,LATE_AIRCRAFT_DELAY,ELAPSED_TIME,-0.09377831713210966
561,572,LATE_AIRCRAFT_DELAY,AIRLINE_DELAY,-0.10610828083914063
492,574,AIR_SYSTEM_DELAY,AIRLINE_DELAY,-0.11932438816813146
198,576,TAXI_OUT,LATE_AIRCRAFT_DELAY,-0.12873944073969346
493,578,AIR_SYSTEM_DELAY,LATE_AIRCRAFT_DELAY,-0.14592479820853602
253,580,ELAPSED_TIME,FLIGHT_NUMBER,-0.30662012444482
228,582,SCHEDULED_TIME,FLIGHT_NUMBER,-0.3171927219218439
86,584,FLIGHT_NUMBER,AIR_TIME,-0.3196660031424161
87,586,FLIGHT_NUMBER,DISTANCE,-0.33122001453831396
